时间,31.2电压Va,31.2电压V1,31.2电压V2,31.2亮温1,31.2亮温2,31.2亮温3,23.8电压Va,23.8电压V1,23.8电压V2,23.8亮温1,23.8亮温2,23.8亮温3,31.65pt100电压,23.8pt100电压,31.2pt100温度,23.8pt100温度,31.2模块温度,23.8模块温度,降雨,机箱温度,水汽,水汽(湿迟延),液水,温度,湿度,压强,黑体温度,红外,红外处温度,方位,俯仰
2018-11-03 00:05:08.000,13862,22163,25329,36.1968,36.1194,36.1194,13610,19101,21988,45.8407,46.2384,46.2384,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.930405,25.970343,0.355250,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:08.500,13862,22163,25329,36.1968,36.1194,36.1194,13610,19101,21988,45.8407,46.2384,46.2384,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.930405,25.970343,0.355250,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:09.000,13858,22154,25335,36.1632,36.0858,36.0858,13608,19100,21988,45.7252,46.1219,46.1219,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.820078,25.854930,0.355164,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:09.500,13858,22154,25335,36.1632,36.0858,36.0858,13608,19100,21988,45.7252,46.1219,46.1219,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.820078,25.854930,0.355164,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:10.000,13858,22154,25335,36.2675,36.1899,36.1899,13608,19100,21988,45.7059,46.1025,46.1025,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.727961,25.762397,0.357728,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:10.500,13858,22154,25335,36.2675,36.1899,36.1899,13608,19100,21988,45.7059,46.1025,46.1025,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.727961,25.762397,0.357728,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:11.000,13857,22163,25336,36.2337,36.1562,36.1562,13608,19100,21992,45.7145,46.1112,46.1112,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.760509,25.795179,0.356885,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:11.500,13857,22163,25336,36.2337,36.1562,36.1562,13608,19100,21992,45.7145,46.1112,46.1112,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.760509,25.795179,0.356885,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:12.000,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:12.500,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:14.000,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:14.500,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:15.000,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:15.500,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:15.000,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:15.500,13860,22170,25331,36.2557,36.1782,36.1782,13608,19105,21987,45.6479,46.0439,46.0439,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.669035,25.700969,0.357806,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:16.000,13854,22165,25339,36.0324,35.9553,35.9553,13607,19112,21996,45.5339,45.9289,45.9289,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.687616,25.713870,0.353263,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:16.500,13854,22165,25339,36.0324,35.9553,35.9553,13607,19112,21996,45.5339,45.9289,45.9289,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,17.000000,25.800000,27.687616,25.713870,0.353263,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:17.000,13851,22167,25338,35.9025,35.8257,35.8257,13604,19108,21998,45.3771,45.7708,45.7708,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,18.000000,25.800000,27.594278,25.613494,0.351178,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:17.500,13851,22167,25338,35.9025,35.8257,35.8257,13604,19108,21998,45.3771,45.7708,45.7708,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,18.000000,25.800000,27.594278,25.613494,0.351178,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:18.000,13859,22159,25326,36.2001,36.1226,36.1226,13610,19099,21991,45.6725,46.0688,46.0688,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:18.500,13859,22159,25326,36.2001,36.1226,36.1226,13610,19099,21991,45.6725,46.0688,46.0688,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:19.000,13859,22159,25326,36.2001,36.1226,36.1226,13610,19099,21991,45.6725,46.0688,46.0688,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:19.500,13859,22159,25326,36.2001,36.1226,36.1226,13610,19099,21991,45.6725,46.0688,46.0688,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:21.000,13859,22159,25326,36.2001,36.1226,36.1226,13610,19099,21991,45.6725,46.0688,46.0688,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:21.500,13859,22159,25326,36.2001,36.1226,36.1226,13610,19099,21991,45.6725,46.0688,46.0688,0.0000,0.0000,-288.8889,-288.8889,45.0000,45.0000,16.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:21.000,13852,22159,25326,36.2001,36.1226,36.1226,13607,19099,21991,45.6725,46.0688,46.0688,0.0000,129.0000,-288.8889,-286.7493,45.0000,45.0000,15.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
2018-11-03 00:05:21.500,13852,22159,25326,36.2001,36.1226,36.1226,13607,19099,21991,45.6725,46.0688,46.0688,0.0000,129.0000,-288.8889,-286.7493,45.0000,45.0000,15.000000,25.800000,27.734752,25.767507,0.356350,19.987788,45.649581,1023.600000,18.600000,-5.694550,0.000000,359.9,90.0
