data		b0		b1		b2		rms		r2
181101		-459.938		-40984.562		1713.034		17.204		0.737
181102		-204.083		-19335.772		1121.525		174.747		-0.002
181103		3206.074		214107.132		-7366.103		326.944		-313.795
181112		-407.267		-34686.573		1775.599		2.248		0.960
181113		-444.530		-38218.475		1812.719		34.271		-0.501
181114		-320.707		-26092.025		1715.419		97.981		0.908
181115		-307.056		-20257.510		1865.745		735.009		0.950
181116		-449.444		-33796.701		2027.234		71.684		0.974
181117		-643.556		-45256.393		2498.143		24.329		0.661
181118		-699.163		-48009.377		2647.548		1758.541		0.909
181119		-360.175		-28948.438		1789.946		4.701		0.953
181120		-210.352		-14660.688		1620.425		34.635		0.039
181121		-532.169		-36835.308		2321.371		630.716		0.924
181122		-445.944		-38906.200		1784.087		4.531		0.902
181123		-407.036		-35346.337		1700.944		13.175		0.498
181124		-303.938		-23242.817		1757.673		13.262		0.410
181125		-429.060		-36102.952		1834.289		82.783		0.980
181126		-518.193		-44906.652		1930.655		92.254		0.715
181127		-499.523		-43088.161		1936.832		5.396		0.922
181128		80.177		-2216.935		-541.274		46625.008		0.802
